Дата,День,Область,Чи буде тривога?,Ймовірність (%),Час початку,Тип загрози,Тривалість (хв)
2022-10-18,Вівторок,Vinnytska oblast,Так,80.6,02:00 - 03:00,Балістика (Тилові),23
2022-10-18,Вівторок,Chernihivska oblast,Так,80.6,02:00 - 03:00,Обстріл / Швидка балістика,24
2022-10-18,Вівторок,Zhytomyrska oblast,Так,77.4,02:00 - 03:00,Балістика (Тилові),23
2022-10-18,Вівторок,Kyivska oblast,Так,77.4,22:00 - 23:00,Балістика (Тилові),24
2022-10-18,Вівторок,Kyiv City,Так,77.4,23:00 - 00:00,Балістика (Тилові),24
2022-10-18,Вівторок,Khmelnytska oblast,Так,64.5,04:00 - 05:00,Комбінована атака,250
2022-10-18,Вівторок,Rivnenska oblast,Так,64.5,05:00 - 06:00,Комбінована атака,218
2022-10-18,Вівторок,Ivano-Frankivska oblast,Так,61.3,05:00 - 06:00,Комбінована атака,235
2022-10-18,Вівторок,Lvivska oblast,Так,61.3,05:00 - 06:00,Комбінована атака,253
2022-10-18,Вівторок,Volynska oblast,Так,61.3,05:00 - 06:00,Комбінована атака,428
2022-10-18,Вівторок,Ternopilska oblast,Так,61.3,05:00 - 06:00,Комбінована атака,329
2022-10-18,Вівторок,Zakarpatska oblast,Так,58.1,05:00 - 06:00,Комбінована атака,244
2022-10-18,Вівторок,Chernivetska oblast,Так,54.8,04:00 - 05:00,Комбінована атака,294
2022-10-18,Вівторок,Khersonska oblast,Так,29.0,09:00 - 10:00,Обстріл / Швидка балістика,25
2022-10-19,Середа,Mykolaivska oblast,Так,100.0,15:00 - 16:00,Обстріл / Швидка балістика,26
2022-10-19,Середа,Donetska oblast,Так,100.0,00:00 - 01:00,Обстріл / Швидка балістика,22
2022-10-19,Середа,Dnipropetrovska oblast,Так,100.0,17:00 - 18:00,Комбінована атака,480
2022-10-19,Середа,Kharkivska oblast,Так,100.0,21:00 - 22:00,Обстріл / Швидка балістика,24
2022-10-19,Середа,Zaporizka oblast,Так,100.0,06:00 - 07:00,Обстріл / Швидка балістика,24
2022-10-19,Середа,Poltavska oblast,Так,96.8,07:00 - 08:00,Балістика (Тилові),25
2022-10-19,Середа,Cherkaska oblast,Так,90.3,21:00 - 22:00,Балістика (Тилові),24
2022-10-19,Середа,Kirovohradska oblast,Так,90.3,21:00 - 22:00,Балістика (Тилові),24
2022-10-19,Середа,Odeska oblast,Так,90.3,01:00 - 02:00,Обстріл / Швидка балістика,25
2022-10-19,Середа,Sumska oblast,Так,83.9,02:00 - 03:00,Обстріл / Швидка балістика,27
2022-10-19,Середа,Kyiv City,Так,74.2,02:00 - 03:00,Балістика (Тилові),24
2022-10-19,Середа,Kyivska oblast,Так,71.0,02:00 - 03:00,Крилаті ракети / МіГ,61
2022-10-19,Середа,Chernihivska oblast,Так,71.0,14:00 - 15:00,Обстріл / Швидка балістика,24
2022-10-19,Середа,Khmelnytska oblast,Так,64.5,14:00 - 15:00,Ударні БПЛА / Довгий МіГ,119
2022-10-19,Середа,Volynska oblast,Так,64.5,15:00 - 16:00,Балістика (Тилові),24
2022-10-19,Середа,Vinnytska oblast,Так,61.3,02:00 - 03:00,Балістика (Тилові),23
2022-10-19,Середа,Zhytomyrska oblast,Так,61.3,15:00 - 16:00,Балістика (Тилові),23
2022-10-19,Середа,Rivnenska oblast,Так,61.3,15:00 - 16:00,Крилаті ракети / МіГ,60
2022-10-19,Середа,Ivano-Frankivska oblast,Так,58.1,04:00 - 05:00,Балістика (Тилові),26
2022-10-19,Середа,Ternopilska oblast,Так,58.1,14:00 - 15:00,Ударні БПЛА / Довгий МіГ,126
2022-10-19,Середа,Lvivska oblast,Так,48.4,04:00 - 05:00,Балістика (Тилові),26
2022-10-19,Середа,Chernivetska oblast,Так,45.2,04:00 - 05:00,Комбінована атака,294
2022-10-19,Середа,Zakarpatska oblast,Так,45.2,04:00 - 05:00,Балістика (Тилові),24
2022-10-19,Середа,Khersonska oblast,Так,32.3,01:00 - 02:00,Крилаті ракети / МіГ,58
2022-10-20,Четвер,Kharkivska oblast,Так,100.0,21:00 - 22:00,Обстріл / Швидка балістика,24
2022-10-20,Четвер,Donetska oblast,Так,96.8,06:00 - 07:00,Обстріл / Швидка балістика,22
2022-10-20,Четвер,Dnipropetrovska oblast,Так,96.8,21:00 - 22:00,Обстріл / Швидка балістика,24
2022-10-20,Четвер,Zaporizka oblast,Так,96.8,07:00 - 08:00,Обстріл / Швидка балістика,24
2022-10-20,Четвер,Mykolaivska oblast,Так,93.5,13:00 - 14:00,Обстріл / Швидка балістика,26
2022-10-20,Четвер,Kirovohradska oblast,Так,93.5,12:00 - 13:00,Балістика (Тилові),24
2022-10-20,Четвер,Cherkaska oblast,Так,90.3,12:00 - 13:00,Балістика (Тилові),24
2022-10-20,Четвер,Poltavska oblast,Так,90.3,06:00 - 07:00,Балістика (Тилові),25
2022-10-20,Четвер,Odeska oblast,Так,90.3,15:00 - 16:00,Обстріл / Швидка балістика,25
2022-10-20,Четвер,Vinnytska oblast,Так,87.1,00:00 - 01:00,Ударні БПЛА / Довгий МіГ,126
2022-10-20,Четвер,Sumska oblast,Так,87.1,06:00 - 07:00,Обстріл / Швидка балістика,27
2022-10-20,Четвер,Chernihivska oblast,Так,83.9,10:00 - 11:00,Обстріл / Швидка балістика,24
2022-10-20,Четвер,Zhytomyrska oblast,Так,80.6,02:00 - 03:00,Балістика (Тилові),23
2022-10-20,Четвер,Kyiv City,Так,80.6,02:00 - 03:00,Балістика (Тилові),24
2022-10-20,Четвер,Kyivska oblast,Так,77.4,02:00 - 03:00,Крилаті ракети / МіГ,61
2022-10-20,Четвер,Rivnenska oblast,Так,67.7,02:00 - 03:00,Балістика (Тилові),24
2022-10-20,Четвер,Volynska oblast,Так,67.7,02:00 - 03:00,Балістика (Тилові),24
2022-10-20,Четвер,Lvivska oblast,Так,64.5,02:00 - 03:00,Балістика (Тилові),26
2022-10-20,Четвер,Ternopilska oblast,Так,64.5,02:00 - 03:00,Балістика (Тилові),24
2022-10-20,Четвер,Khmelnytska oblast,Так,61.3,08:00 - 09:00,Балістика (Тилові),25
2022-10-20,Четвер,Ivano-Frankivska oblast,Так,61.3,02:00 - 03:00,Балістика (Тилові),26
2022-10-20,Четвер,Chernivetska oblast,Так,54.8,02:00 - 03:00,Балістика (Тилові),24
2022-10-20,Четвер,Zakarpatska oblast,Так,54.8,02:00 - 03:00,Балістика (Тилові),24
2022-10-20,Четвер,Khersonska oblast,Так,35.5,13:00 - 14:00,Обстріл / Швидка балістика,25
2022-10-21,П'ятниця,Donetska oblast,Так,100.0,10:00 - 11:00,Обстріл / Швидка балістика,22
2022-10-21,П'ятниця,Dnipropetrovska oblast,Так,100.0,14:00 - 15:00,Обстріл / Швидка балістика,24
2022-10-21,П'ятниця,Kharkivska oblast,Так,100.0,10:00 - 11:00,Обстріл / Швидка балістика,24
2022-10-21,П'ятниця,Zaporizka oblast,Так,100.0,21:00 - 22:00,Крилаті ракети / МіГ,60
2022-10-21,П'ятниця,Mykolaivska oblast,Так,96.8,21:00 - 22:00,Крилаті ракети / МіГ,57
2022-10-21,П'ятниця,Poltavska oblast,Так,90.3,10:00 - 11:00,Балістика (Тилові),25
2022-10-21,П'ятниця,Odeska oblast,Так,87.1,08:00 - 09:00,Обстріл / Швидка балістика,25
2022-10-21,П'ятниця,Cherkaska oblast,Так,83.9,10:00 - 11:00,Балістика (Тилові),24
2022-10-21,П'ятниця,Kirovohradska oblast,Так,83.9,10:00 - 11:00,Балістика (Тилові),24
2022-10-21,П'ятниця,Chernihivska oblast,Так,80.6,10:00 - 11:00,Обстріл / Швидка балістика,24
2022-10-21,П'ятниця,Kyivska oblast,Так,77.4,10:00 - 11:00,Балістика (Тилові),24
2022-10-21,П'ятниця,Sumska oblast,Так,77.4,10:00 - 11:00,Обстріл / Швидка балістика,27
2022-10-21,П'ятниця,Kyiv City,Так,74.2,10:00 - 11:00,Балістика (Тилові),24
2022-10-21,П'ятниця,Zhytomyrska oblast,Так,71.0,10:00 - 11:00,Балістика (Тилові),23
2022-10-21,П'ятниця,Vinnytska oblast,Так,67.7,10:00 - 11:00,Балістика (Тилові),23
2022-10-21,П'ятниця,Khmelnytska oblast,Так,58.1,07:00 - 08:00,Крилаті ракети / МіГ,61
2022-10-21,П'ятниця,Rivnenska oblast,Так,51.6,07:00 - 08:00,Крилаті ракети / МіГ,60
2022-10-21,П'ятниця,Volynska oblast,Так,48.4,07:00 - 08:00,Крилаті ракети / МіГ,59
2022-10-21,П'ятниця,Ternopilska oblast,Так,48.4,07:00 - 08:00,Крилаті ракети / МіГ,61
2022-10-21,П'ятниця,Ivano-Frankivska oblast,Так,45.2,07:00 - 08:00,Крилаті ракети / МіГ,60
2022-10-21,П'ятниця,Lvivska oblast,Так,45.2,07:00 - 08:00,Крилаті ракети / МіГ,60
2022-10-21,П'ятниця,Chernivetska oblast,Так,41.9,07:00 - 08:00,Крилаті ракети / МіГ,61
2022-10-21,П'ятниця,Zakarpatska oblast,Так,41.9,07:00 - 08:00,Крилаті ракети / МіГ,62
2022-10-21,П'ятниця,Khersonska oblast,Так,35.5,08:00 - 09:00,Обстріл / Швидка балістика,25
2022-10-22,Субота,Mykolaivska oblast,Так,100.0,11:00 - 12:00,Обстріл / Швидка балістика,26
2022-10-22,Субота,Donetska oblast,Так,100.0,21:00 - 22:00,Обстріл / Швидка балістика,22
2022-10-22,Субота,Dnipropetrovska oblast,Так,100.0,05:00 - 06:00,Обстріл / Швидка балістика,24
2022-10-22,Субота,Kharkivska oblast,Так,100.0,21:00 - 22:00,Обстріл / Швидка балістика,24
2022-10-22,Субота,Zaporizka oblast,Так,100.0,21:00 - 22:00,Крилаті ракети / МіГ,60
2022-10-22,Субота,Kirovohradska oblast,Так,93.5,11:00 - 12:00,Балістика (Тилові),24
2022-10-22,Субота,Odeska oblast,Так,93.5,22:00 - 23:00,Обстріл / Швидка балістика,25
2022-10-22,Субота,Poltavska oblast,Так,87.1,11:00 - 12:00,Крилаті ракети / МіГ,60
2022-10-22,Субота,Cherkaska oblast,Так,83.9,11:00 - 12:00,Крилаті ракети / МіГ,61
2022-10-22,Субота,Sumska oblast,Так,77.4,09:00 - 10:00,Крилаті ракети / МіГ,61
2022-10-22,Субота,Vinnytska oblast,Так,71.0,01:00 - 02:00,Балістика (Тилові),23
2022-10-22,Субота,Zhytomyrska oblast,Так,71.0,01:00 - 02:00,Балістика (Тилові),23
2022-10-22,Субота,Kyivska oblast,Так,67.7,01:00 - 02:00,Балістика (Тилові),24
2022-10-22,Субота,Kyiv City,Так,67.7,01:00 - 02:00,Балістика (Тилові),24
2022-10-22,Субота,Chernihivska oblast,Так,67.7,09:00 - 10:00,Крилаті ракети / МіГ,62
2022-10-22,Субота,Khmelnytska oblast,Так,64.5,04:00 - 05:00,Комбінована атака,250
2022-10-22,Субота,Ivano-Frankivska oblast,Так,64.5,04:00 - 05:00,Балістика (Тилові),26
2022-10-22,Субота,Rivnenska oblast,Так,64.5,04:00 - 05:00,Балістика (Тилові),24
2022-10-22,Субота,Volynska oblast,Так,64.5,04:00 - 05:00,Балістика (Тилові),24
2022-10-22,Субота,Ternopilska oblast,Так,64.5,04:00 - 05:00,Балістика (Тилові),24
2022-10-22,Субота,Lvivska oblast,Так,61.3,04:00 - 05:00,Балістика (Тилові),26
2022-10-22,Субота,Chernivetska oblast,Так,58.1,04:00 - 05:00,Комбінована атака,294
2022-10-22,Субота,Zakarpatska oblast,Так,58.1,04:00 - 05:00,Балістика (Тилові),24
2022-10-22,Субота,Khersonska oblast,Так,32.3,22:00 - 23:00,Обстріл / Швидка балістика,25
